# association of rgb,depth,groundtruth 
# rgb depth tx ty tz qx qy qz qw 
rgb/1311877812.989574.png depth/1311877812.987032.png -2.2583 -2.3803 0.59 0.1905 0.7166 -0.6513 -0.1614 
rgb/1311877813.025527.png depth/1311877813.024161.png -2.2583 -2.3803 0.59 0.1906 0.7166 -0.6512 -0.1615 
rgb/1311877813.057556.png depth/1311877813.055829.png -2.2585 -2.3802 0.5902 0.1903 0.7168 -0.651 -0.1615 
rgb/1311877813.089405.png depth/1311877813.087721.png -2.2583 -2.3803 0.5899 0.1906 0.7166 -0.6512 -0.1615 
rgb/1311877813.125501.png depth/1311877813.125509.png -2.2581 -2.3799 0.5899 0.1915 0.7173 -0.6501 -0.1617 
rgb/1311877813.157587.png depth/1311877813.155298.png -2.2585 -2.3803 0.5901 0.1903 0.7169 -0.651 -0.1614 
rgb/1311877813.189508.png depth/1311877813.187161.png -2.2581 -2.3799 0.5899 0.1914 0.7173 -0.6502 -0.1618 
rgb/1311877813.225602.png depth/1311877813.225615.png -2.2583 -2.3802 0.59 0.1905 0.7167 -0.6511 -0.1613 
rgb/1311877813.257576.png depth/1311877813.255024.png -2.2583 -2.3803 0.5899 0.1906 0.7166 -0.6512 -0.1615 
rgb/1311877813.289732.png depth/1311877813.287256.png -2.2585 -2.3802 0.5901 0.1904 0.7168 -0.6511 -0.1615 
rgb/1311877813.325436.png depth/1311877813.324651.png -2.2583 -2.3799 0.5901 0.1911 0.7177 -0.6498 -0.1616 
rgb/1311877813.357541.png depth/1311877813.355461.png -2.2581 -2.3799 0.5899 0.1913 0.7172 -0.6503 -0.1617 
rgb/1311877813.389768.png depth/1311877813.389787.png -2.2585 -2.3803 0.5902 0.1903 0.7167 -0.6511 -0.1614 
rgb/1311877813.425359.png depth/1311877813.423092.png -2.2582 -2.3799 0.5901 0.1912 0.7175 -0.65 -0.1617 
rgb/1311877813.457628.png depth/1311877813.456251.png -2.2583 -2.3803 0.5899 0.1905 0.7167 -0.6511 -0.1614 
rgb/1311877813.489875.png depth/1311877813.487770.png -2.2585 -2.3803 0.5901 0.1903 0.7168 -0.651 -0.1615 
rgb/1311877813.525557.png depth/1311877813.523026.png -2.2583 -2.3803 0.59 0.1906 0.7166 -0.6512 -0.1615 
rgb/1311877813.557676.png depth/1311877813.555228.png -2.2581 -2.3798 0.5899 0.1916 0.7175 -0.6499 -0.1618 
rgb/1311877813.594080.png depth/1311877813.594091.png -2.2583 -2.3801 0.5901 0.1909 0.7171 -0.6506 -0.1615 
rgb/1311877813.625559.png depth/1311877813.623443.png -2.2589 -2.3801 0.5901 0.1901 0.7167 -0.6512 -0.1617 
rgb/1311877813.657668.png depth/1311877813.656219.png -2.2588 -2.38 0.5901 0.1903 0.717 -0.6508 -0.1618 
rgb/1311877813.695494.png depth/1311877813.695504.png -2.2588 -2.3801 0.5901 0.1903 0.7169 -0.6509 -0.1618 
rgb/1311877813.725503.png depth/1311877813.723018.png -2.2589 -2.3801 0.5901 0.1902 0.7169 -0.6509 -0.1617 
rgb/1311877813.757694.png depth/1311877813.755724.png -2.2588 -2.38 0.5901 0.1902 0.7169 -0.6509 -0.1617 
rgb/1311877813.792881.png depth/1311877813.792900.png -2.2589 -2.38 0.5901 0.1903 0.7169 -0.6508 -0.1618 
rgb/1311877813.825509.png depth/1311877813.823353.png -2.2589 -2.38 0.5901 0.1905 0.7168 -0.6509 -0.1621 
rgb/1311877813.857587.png depth/1311877813.855217.png -2.2589 -2.38 0.5901 0.1907 0.7169 -0.6507 -0.1622 
rgb/1311877813.893854.png depth/1311877813.893872.png -2.2589 -2.3801 0.5901 0.1907 0.7166 -0.651 -0.1622 
rgb/1311877813.925565.png depth/1311877813.923217.png -2.259 -2.38 0.5901 0.1908 0.7168 -0.6507 -0.1623 
rgb/1311877813.957675.png depth/1311877813.955318.png -2.259 -2.38 0.5901 0.1909 0.7167 -0.6509 -0.1624 
